stop_id,stop_name,lat,lon,route
Feeder_Koridor_3_13,Koridor 3 Feeder (Asrama Haji - Talang Betutu),-2.893893,104.680344,Feeder Koridor 3
Feeder_Koridor_4_1,Koridor 4 Feeder (Sta Polresta - Perum OPI),-3.005205,104.772646,Feeder Koridor 4
Feeder_Koridor_4_2,Feeder Koridor 4 - Halte 2,-3.0129,104.774609,Feeder Koridor 4
Feeder_Koridor_4_3,Feeder Koridor 4 - Halte 3,-3.026408,104.77495,Feeder Koridor 4
Feeder_Koridor_4_4,Feeder Koridor 4 - Halte 4,-3.036145,104.779937,Feeder Koridor 4
Feeder_Koridor_4_5,Feeder Koridor 4 - Halte 5,-3.044529,104.784603,Feeder Koridor 4
Feeder_Koridor_4_6,Feeder Koridor 4 - Halte 6,-3.041752,104.782203,Feeder Koridor 4
Feeder_Koridor_4_7,Feeder Koridor 4 - Halte 7,-3.033971,104.779183,Feeder Koridor 4
Feeder_Koridor_4_8,Feeder Koridor 4 - Halte 8,-3.022531,104.77503,Feeder Koridor 4
Feeder_Koridor_4_9,Koridor 4 Feeder (Sta Polresta - Perum OPI),-3.005228,104.772652,Feeder Koridor 4
Feeder_Koridor_5_1,BS lingga motor ada,-2.99941,104.816,Feeder Koridor 5
Feeder_Koridor_5_2,BS lorong setia ada,-3.0026,104.817,Feeder Koridor 5
Feeder_Koridor_5_3,BS lorong aman B ada,-3.00434,104.818,Feeder Koridor 5
Feeder_Koridor_5_4,BS SPBU 24 ada,-3.00558,104.818,Feeder Koridor 5
Feeder_Koridor_5_5,BS pasar tegal binangun B ada,-3.00783,104.818,Feeder Koridor 5
Feeder_Koridor_5_6,BS sma fitria abadi B ada,-3.01191,104.815,Feeder Koridor 5
Feeder_Koridor_5_7,BS puskesmas tegal binangun B ada,-3.01442,104.813,Feeder Koridor 5
Feeder_Koridor_5_8,BS Paud al bayyinah ada,-3.01746,104.81,Feeder Koridor 5
Feeder_Koridor_5_9,BS GNPK ri ada,-3.0202,104.808,Feeder Koridor 5
Feeder_Koridor_5_10,BS jl. talang peti ada,-3.02214,104.806,Feeder Koridor 5
Feeder_Koridor_5_11,BS SDN 320 B ada,-3.02323,104.805,Feeder Koridor 5
Feeder_Koridor_5_12,BS toko jaya ada,-3.02515,104.804,Feeder Koridor 5
Feeder_Koridor_5_13,BS SDN 288 B ada,-3.02736,104.802,Feeder Koridor 5
Feeder_Koridor_5_14,BS Indomaret ada,-3.02832,104.801,Feeder Koridor 5
Feeder_Koridor_5_15,BS puskesmas ada,-3.03168,104.799,Feeder Koridor 5
Feeder_Koridor_5_16,BS perumahan Chelsea ada,-3.03435,104.798,Feeder Koridor 5
Feeder_Koridor_5_17,BS cluster winola B ada,-3.03685,104.797,Feeder Koridor 5
Feeder_Koridor_5_18,BS plam springs ada,-3.03877,104.796,Feeder Koridor 5
Feeder_Koridor_5_19,BS kios bunga ada,-3.03904,104.795,Feeder Koridor 5
Feeder_Koridor_5_20,BS Depo djka B ada,-3.03492,104.792,Feeder Koridor 5
Feeder_Koridor_5_21,BS stasiun lrt djka B ada,-3.03154,104.79,Feeder Koridor 5
Feeder_Koridor_6_1,BS lingga motor ada,-2.93038,104.745,Feeder Koridor 6
Feeder_Koridor_6_2,BS lorong setia ada,-2.92967,104.742,Feeder Koridor 6
Feeder_Koridor_6_3,BS lorong aman B ada,-2.92927,104.741,Feeder Koridor 6
Feeder_Koridor_6_4,BS SPBU 24 ada,-2.93096,104.738,Feeder Koridor 6
Feeder_Koridor_6_5,BS pasar tegal binangun B ada,-2.93298,104.737,Feeder Koridor 6
Feeder_Koridor_6_6,BS sma fitria abadi B ada,-2.93569,104.735,Feeder Koridor 6
Feeder_Koridor_6_7,BS puskesmas tegal binangun B ada,-2.93871,104.733,Feeder Koridor 6
Feeder_Koridor_6_8,BS Paud al bayyinah ada,-2.94034,104.732,Feeder Koridor 6
Feeder_Koridor_6_9,BS GNPK ri ada,-2.94211,104.731,Feeder Koridor 6
Feeder_Koridor_6_10,BS jl. talang peti ada,-2.94502,104.731,Feeder Koridor 6
Feeder_Koridor_6_11,BS SDN 320 B ada,-2.94737,104.732,Feeder Koridor 6
Feeder_Koridor_6_12,BS toko jaya ada,-2.94828,104.733,Feeder Koridor 6
Feeder_Koridor_7_1,BS stadion kamboja ada,-2.97027,104.746,Feeder Koridor 7
Feeder_Koridor_7_2,BS kantor camat ilir timur 1 ada,-2.96906,104.746,Feeder Koridor 7
Feeder_Koridor_7_3,BS kopral umar said ada,-2.96573,104.747,Feeder Koridor 7
