stop_id,name,longitude,latitude,route_type,route_name,sequence
AF_Koridor 2 - Asrama Haji - Sematang Borang__49,Stop 49,104.79752559,-2.92036649,angkot_feeder,Koridor 2 - Asrama Haji - Sematang Borang_,49
AF_Koridor 2 - Asrama Haji - Sematang Borang__50,Stop 50,104.80311542,-2.91946255,angkot_feeder,Koridor 2 - Asrama Haji - Sematang Borang_,50
AF_Koridor 2 - Asrama Haji - Sematang Borang__51,Stop 51,104.80751353,-2.91868376,angkot_feeder,Koridor 2 - Asrama Haji - Sematang Borang_,51
AF_Koridor 2 - Asrama Haji - Sematang Borang__52,Stop 52,104.81961827,-2.91638225,angkot_feeder,Koridor 2 - Asrama Haji - Sematang Borang_,52
AF_Koridor 2 - Asrama Haji - Sematang Borang__53,Stop 53,104.82464216,-2.92101408,angkot_feeder,Koridor 2 - Asrama Haji - Sematang Borang_,53
AF_Koridor 2 - Asrama Haji - Sematang Borang__54,Stop 54,104.82127522,-2.93389265,angkot_feeder,Koridor 2 - Asrama Haji - Sematang Borang_,54
AF_Koridor 2 - Asrama Haji - Sematang Borang__55,Stop 55,104.82055092,-2.93556708,angkot_feeder,Koridor 2 - Asrama Haji - Sematang Borang_,55
AF_Koridor 2 - Asrama Haji - Sematang Borang__56,Stop 56,104.8238581,-2.94330021,angkot_feeder,Koridor 2 - Asrama Haji - Sematang Borang_,56
AF_Koridor 2 - Asrama Haji - Sematang Borang__57,Stop 57,104.82286567,-2.94757306,angkot_feeder,Koridor 2 - Asrama Haji - Sematang Borang_,57
AF_Koridor 2 - Asrama Haji - Sematang Borang__58,Stop 58,104.82215538,-2.9507519,angkot_feeder,Koridor 2 - Asrama Haji - Sematang Borang_,58
AF_Koridor 2 - Asrama Haji - Sematang Borang__59,Stop 59,104.81498322,-2.94977253,angkot_feeder,Koridor 2 - Asrama Haji - Sematang Borang_,59
AF_Koridor 2 - Asrama Haji - Sematang Borang__60,Stop 60,104.80570556,-2.94798657,angkot_feeder,Koridor 2 - Asrama Haji - Sematang Borang_,60
AF_Koridor 2 - Asrama Haji - Sematang Borang__61,Stop 61,104.80355927,-2.94771056,angkot_feeder,Koridor 2 - Asrama Haji - Sematang Borang_,61
AF_Koridor 2 - Asrama Haji - Sematang Borang__62,Stop 62,104.80025731,-2.94734692,angkot_feeder,Koridor 2 - Asrama Haji - Sematang Borang_,62
