route_name,route_type,stop_id,stop_name,sequence,longitude,latitude
Koridor 2 - Asrama Haji - Sematang Borang_,angkot_feeder,AF_Koridor 2 - Asrama Haji - Sematang Borang__45,Stop 45,45,104.78746996,-2.92809113
Koridor 2 - Asrama Haji - Sematang Borang_,angkot_feeder,AF_Koridor 2 - Asrama Haji - Sematang Borang__46,Stop 46,46,104.78640863,-2.92261666
Koridor 2 - Asrama Haji - Sematang Borang_,angkot_feeder,AF_Koridor 2 - Asrama Haji - Sematang Borang__47,Stop 47,47,104.78374597,-2.9224854
Koridor 2 - Asrama Haji - Sematang Borang_,angkot_feeder,AF_Koridor 2 - Asrama Haji - Sematang Borang__48,Stop 48,48,104.78976712,-2.92208662
Koridor 2 - Asrama Haji - Sematang Borang_,angkot_feeder,AF_Koridor 2 - Asrama Haji - Sematang Borang__49,Stop 49,49,104.79752559,-2.92036649
Koridor 2 - Asrama Haji - Sematang Borang_,angkot_feeder,AF_Koridor 2 - Asrama Haji - Sematang Borang__50,Stop 50,50,104.80311542,-2.91946255
Koridor 2 - Asrama Haji - Sematang Borang_,angkot_feeder,AF_Koridor 2 - Asrama Haji - Sematang Borang__51,Stop 51,51,104.80751353,-2.91868376
Koridor 2 - Asrama Haji - Sematang Borang_,angkot_feeder,AF_Koridor 2 - Asrama Haji - Sematang Borang__52,Stop 52,52,104.81961827,-2.91638225
Koridor 2 - Asrama Haji - Sematang Borang_,angkot_feeder,AF_Koridor 2 - Asrama Haji - Sematang Borang__53,Stop 53,53,104.82464216,-2.92101408
Koridor 2 - Asrama Haji - Sematang Borang_,angkot_feeder,AF_Koridor 2 - Asrama Haji - Sematang Borang__54,Stop 54,54,104.82127522,-2.93389265
Koridor 2 - Asrama Haji - Sematang Borang_,angkot_feeder,AF_Koridor 2 - Asrama Haji - Sematang Borang__55,Stop 55,55,104.82055092,-2.93556708
Koridor 2 - Asrama Haji - Sematang Borang_,angkot_feeder,AF_Koridor 2 - Asrama Haji - Sematang Borang__56,Stop 56,56,104.8238581,-2.94330021
Koridor 2 - Asrama Haji - Sematang Borang_,angkot_feeder,AF_Koridor 2 - Asrama Haji - Sematang Borang__57,Stop 57,57,104.82286567,-2.94757306
Koridor 2 - Asrama Haji - Sematang Borang_,angkot_feeder,AF_Koridor 2 - Asrama Haji - Sematang Borang__58,Stop 58,58,104.82215538,-2.9507519
Koridor 2 - Asrama Haji - Sematang Borang_,angkot_feeder,AF_Koridor 2 - Asrama Haji - Sematang Borang__59,Stop 59,59,104.81498322,-2.94977253
Koridor 2 - Asrama Haji - Sematang Borang_,angkot_feeder,AF_Koridor 2 - Asrama Haji - Sematang Borang__60,Stop 60,60,104.80570556,-2.94798657
Koridor 2 - Asrama Haji - Sematang Borang_,angkot_feeder,AF_Koridor 2 - Asrama Haji - Sematang Borang__61,Stop 61,61,104.80355927,-2.94771056
Koridor 2 - Asrama Haji - Sematang Borang_,angkot_feeder,AF_Koridor 2 - Asrama Haji - Sematang Borang__62,Stop 62,62,104.80025731,-2.94734692
Koridor 2 - Asrama Haji - Sematang Borang_,angkot_feeder,AF_Koridor 2 - Asrama Haji - Sematang Borang__63,Stop 63,63,104.80073927,-2.94553623
Koridor 2 - Asrama Haji - Sematang Borang_,angkot_feeder,AF_Koridor 2 - Asrama Haji - Sematang Borang__64,Stop 64,64,104.80130688,-2.94314597
Koridor 2 - Asrama Haji - Sematang Borang_,angkot_feeder,AF_Koridor 2 - Asrama Haji - Sematang Borang__65,Stop 65,65,104.80220579,-2.93983044
Koridor 2 - Asrama Haji - Sematang Borang_,angkot_feeder,AF_Koridor 2 - Asrama Haji - Sematang Borang__66,Stop 66,66,104.79852789,-2.93931313
Koridor 2 - Asrama Haji - Sematang Borang_,angkot_feeder,AF_Koridor 2 - Asrama Haji - Sematang Borang__67,Stop 67,67,104.79474869,-2.93750616
Koridor 2 - Asrama Haji - Sematang Borang_,angkot_feeder,AF_Koridor 2 - Asrama Haji - Sematang Borang__68,Stop 68,68,104.79150791,-2.93320456
Koridor 2 - Asrama Haji - Sematang Borang_,angkot_feeder,AF_Koridor 2 - Asrama Haji - Sematang Borang__69,Stop 69,69,104.79008312,-2.93088625
Koridor 2 - Asrama Haji - Sematang Borang_,angkot_feeder,AF_Koridor 2 - Asrama Haji - Sematang Borang__70,Stop 70,70,104.74891709,-2.9167583
Koridor 2 - Asrama Haji - Sematang Borang_,angkot_feeder,AF_Koridor 2 - Asrama Haji - Sematang Borang__71,Stop 71,71,104.749229214,-2.91658736401
